y,xL,xR,xR_mirror,d,d_sav,in_central
92.0,49.502,163.498,229.502,180.0,180.51082251082227,1
93.0,49.502,163.498,229.502,180.0,180.60173160173136,1
94.0,49.502,162.498,230.502,181.0,180.62770562770538,1
95.0,49.502,162.498,230.502,181.0,180.5411255411253,1
96.0,49.502,162.498,230.502,181.0,180.62770562770538,1
97.0,50.502,162.498,230.502,180.0,180.69264069264045,1
98.0,50.502,162.498,230.502,180.0,180.5411255411253,1
99.0,50.502,161.498,231.502,181.0,180.36796536796513,1
100.0,50.502,161.498,231.502,181.0,180.36796536796513,1
101.0,51.502,161.498,231.502,180.0,180.5411255411253,1
102.0,51.502,161.498,231.502,180.0,180.69264069264045,1
103.0,51.502,160.498,232.502,181.0,180.62770562770538,1
104.0,51.502,160.498,232.502,181.0,180.5411255411253,1
105.0,51.502,160.498,232.502,181.0,180.62770562770538,1
106.0,52.502,160.498,232.502,180.0,180.60173160173136,1
107.0,52.502,160.498,232.502,180.0,180.51082251082227,1
108.0,52.502,159.498,233.502,181.0,180.59740259740235,1
109.0,52.502,159.498,233.502,181.0,180.77056277056252,1
110.0,52.502,159.498,233.502,181.0,181.12121212121187,1
111.0,52.502,159.498,233.502,181.0,181.03030303030278,1
112.0,52.502,159.498,233.502,181.0,180.83116883116858,1
113.0,52.502,159.498,233.502,181.0,180.7662337662335,1
114.0,53.502,159.498,233.502,180.0,180.7445887445885,1
115.0,53.502,158.498,234.502,181.0,180.7662337662335,1
116.0,53.502,158.498,234.502,181.0,180.83116883116858,1
117.0,53.502,158.498,234.502,181.0,180.8484848484846,1
118.0,53.502,158.498,234.502,181.0,181.0606060606058,1
119.0,53.502,158.498,234.502,181.0,181.13852813852787,1
120.0,53.502,158.498,234.502,181.0,181.3722943722941,1
121.0,53.502,157.498,235.502,182.0,181.5367965367963,1
122.0,53.502,157.498,235.502,182.0,181.83116883116858,1
123.0,53.502,157.498,235.502,182.0,182.1688311688309,1
124.0,53.502,157.498,235.502,182.0,182.5541125541123,1
125.0,53.502,156.498,236.502,183.0,182.65800865800838,1
126.0,53.502,156.498,236.502,183.0,182.6320346320344,1
127.0,53.502,156.498,236.502,183.0,182.62770562770538,1
128.0,54.502,156.498,236.502,182.0,182.60173160173136,1
129.0,54.502,156.498,236.502,182.0,182.51082251082227,1
130.0,54.502,155.498,237.502,183.0,182.59740259740232,1
131.0,54.502,155.498,237.502,183.0,182.77056277056252,1
132.0,54.502,155.498,237.502,183.0,183.03030303030278,1
133.0,54.502,155.498,237.502,183.0,183.09090909090884,1
134.0,54.502,155.498,237.502,183.0,182.90909090909065,1
135.0,54.502,155.498,237.502,183.0,182.9696969696967,1
136.0,54.502,155.498,237.502,183.0,183.13852813852787,1
137.0,54.502,155.498,237.502,183.0,183.3722943722941,1
138.0,54.502,154.498,238.502,184.0,183.62770562770538,1
139.0,54.502,154.498,238.502,184.0,183.8614718614716,1
140.0,54.502,154.498,238.502,184.0,184.03030303030278,1
141.0,54.502,154.498,238.502,184.0,184.09090909090884,1
142.0,54.502,154.498,238.502,184.0,184.09090909090884,1
143.0,54.502,154.498,238.502,184.0,184.03030303030278,1
144.0,54.502,154.498,238.502,184.0,183.7705627705625,1
145.0,54.502,154.498,238.502,184.0,183.59740259740232,1
146.0,55.502,154.498,238.502,183.0,183.51082251082227,1
147.0,55.502,154.498,238.502,183.0,183.51082251082227,1
148.0,55.502,153.498,239.502,184.0,183.59740259740232,1
149.0,55.502,153.498,239.502,184.0,183.7705627705625,1
150.0,55.502,153.498,239.502,184.0,184.03030303030278,1
151.0,55.502,153.498,239.502,184.0,184.1818181818179,1
152.0,55.502,153.498,239.502,184.0,184.03030303030278,1
153.0,55.502,153.498,239.502,184.0,183.7705627705625,1
154.0,55.502,153.498,239.502,184.0,183.59740259740232,1
155.0,56.502,153.498,239.502,183.0,183.60173160173133,1
156.0,56.502,153.498,239.502,183.0,183.54112554112527,1
157.0,56.502,152.498,240.502,184.0,183.4588744588742,1
158.0,56.502,152.498,240.502,184.0,183.39826839826813,1
159.0,57.502,152.498,240.502,183.0,183.40259740259714,1
160.0,57.502,152.498,240.502,183.0,183.32034632034606,1
161.0,57.502,152.498,240.502,183.0,182.99999999999974,1
162.0,57.502,152.498,240.502,183.0,182.77056277056252,1
163.0,57.502,152.498,240.502,183.0,182.62770562770538,1
164.0,58.502,152.498,240.502,182.0,182.4632034632032,1
165.0,58.502,152.498,240.502,182.0,182.1688311688309,1
166.0,58.502,152.498,240.502,182.0,181.83116883116858,1
167.0,58.502,152.498,240.502,182.0,181.5367965367963,1
168.0,59.502,152.498,240.502,181.0,181.46320346320323,1
